article,name,birth,death,flourish,era
Caspar Kittel,Caspar Kittel,1603,1639,,Baroque
Natale Monferrato,Natale Monferrato,c. 1603,1685,,Baroque
Diego Pontac,Diego Pontac,1603,1654,,Baroque
Marco Uccellini,Marco Uccellini,1603/1610,1680,,Baroque
Heinrich Albert (composer),Heinrich Albert,1604,1651,,Baroque
François Dufault,François Dufault,1604,1670,,Baroque
Bonifazio Graziani,Bonifazio Graziani,1604/1605,1664,,Baroque
Charles Coypeau d'Assoucy,Charles d'Assoucy,1605,1677,,Baroque
Orazio Benevoli,Orazio Benevoli,1605,1672,,Baroque
Antonio Bertali,Antonio Bertali,1605,1669,,Baroque
Giacomo Carissimi,Giacomo Carissimi,1605,1674,,Baroque
Francesco Sacrati,Francesco Sacrati,1605,1650,,Baroque
Johann Vierdanck,Johann Vierdanck,c. 1605,1646,,Baroque
Jean de Cambefort,Jean de Cambefort,1605,1661,,Baroque
Charles Coypeau d'Assoucy,Charles Coypeau d'Assoucy,1605,1677,,Baroque
William Child,William Child,1606,1697,,Baroque
