name,birth_date,birth_place,death_date,death_place,url,in_the_db,wikidata_id
Csaba Deák,,,,,https://www.swedishmusicalheritage.com/composers/deak-csaba/,true,Q5618983
Johannes Degen,,,,,https://www.swedishmusicalheritage.com/composers/degen-johannes/,false,
Henrik Denerin,,,,,https://www.swedishmusicalheritage.com/composers/denerin-henrik/,false,
Joseph Dente,23 January 1838,Stockholm,24 May 1905,,https://www.swedishmusicalheritage.com/composers/dente-joseph/,false,
Lüdert Dijkman,,,,,https://www.swedishmusicalheritage.com/composers/dijkman-ludert/,false,
Erik Drake,8 January 1788,,9 June 1870,,https://www.swedishmusicalheritage.com/composers/drake-erik/,true,Q5624380
Edouard Du Puy,,,3 April 1822,Stockholm,https://www.swedishmusicalheritage.com/composers/du-puy-edouard/,true,Q3365684
Anders von Düben d.y.,,,,,https://www.swedishmusicalheritage.com/composers/duben-andreas-von/,false,
Andreas Düben d.ä.,,,,,https://www.swedishmusicalheritage.com/composers/duben-andreas/,false,
Gustav Düben d.ä.,,,19 December 1690,Stockholm,https://www.swedishmusicalheritage.com/composers/duben-gustav/,false,
Peter Düben,,,,,https://www.swedishmusicalheritage.com/composers/duben-peter/,true,Q10625091
Alette (Alethe) Due,28 February 1812,"the monastery in Værne, Norway",7 May 1887,Kristiania (now Oslo),https://www.swedishmusicalheritage.com/composers/due-alette-alethe/,false,
Agnessa Dzodtsoeva,,,,,https://www.swedishmusicalheritage.com/composers/dzodtsoeva-agnessa/,false,
Sixten Eckerberg,,,,,https://www.swedishmusicalheritage.com/composers/eckerberg-sixten/,true,Q5626830
Fredrik Ed,,,,,https://www.swedishmusicalheritage.com/composers/ed-fredrik/,false,
Isak Edberg,,,,,https://www.swedishmusicalheritage.com/composers/edberg-isak/,false,
Mats Edén,,,,,https://www.swedishmusicalheritage.com/composers/eden-mats/,false,
Lotten af Edholm,18 April 1839,Örebro,12 July 1930,Stockholm,https://www.swedishmusicalheritage.com/composers/edholm-lotten-af/,false,
