name,birth_date,birth_place,death_date,death_place,url
Mårten Josjö,,,,,https://www.swedishmusicalheritage.com/composers/josjo-marten/
Max Käck,,,,,https://www.swedishmusicalheritage.com/composers/kack-max/
Edvin Kallstenius,29 augusti 1881,Filipstad,22 november 1967,Stockholm,https://www.swedishmusicalheritage.com/composers/kallstenius-edvin/
Ingvar Karkoff,,,,,https://www.swedishmusicalheritage.com/composers/karkoff-ingvar/
Maurice Karkoff,,,,,https://www.swedishmusicalheritage.com/composers/karkoff-maurice/
Zbigniew Karkowski,,,,,https://www.swedishmusicalheritage.com/composers/karkowski-zbigniew/
Erik Mikael Karlsson,,,,,https://www.swedishmusicalheritage.com/composers/karlsson-erik-mikael/
Mikael Karlsson,,,,,https://www.swedishmusicalheritage.com/composers/karlsson-mikael/
Christoffer Christian Karsten,9 september 1756,,7 augusti 1827,"Lovö församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/karsten-christoffer-christian/
Bartholomeus Kellner,,,,,https://www.swedishmusicalheritage.com/composers/kellner-bartholomeus/
Harald Kempe,17 januari 1900,"Adolf Fredriks församling, Stockholm",8 april 1974,"Slottsstadens församling, Malmö",https://www.swedishmusicalheritage.com/composers/kempe-harald/
Molly Heather Kien,,,,,https://www.swedishmusicalheritage.com/composers/kien-molly-heather/
Nils Kjellander,3 July 1859,Karlskrona,,,https://www.swedishmusicalheritage.com/composers/kjellander-nils-theodor-salomon/
Johan Magnus Kjellberg,,,1 juni 1791,"Hovförsamlingen, Stockholm,",https://www.swedishmusicalheritage.com/composers/kjellberg-johan-magnus/
Fredrik Kjellstrand,8 September 1826,"Julsta, not far from Örebro,",24 January 1898,Skara,https://www.swedishmusicalheritage.com/composers/kjellstrand-johan-fredrik/
Stefan Klaverdal,,,,,https://www.swedishmusicalheritage.com/composers/klaverdal-stefan/
Jonas Klingborg,,,,,https://www.swedishmusicalheritage.com/composers/klingborg-jonas/
Fredrik Wilhelm Klint,,,"1 June, 1894",Stockholm,https://www.swedishmusicalheritage.com/composers/klint-fredrik-wilhelm/
Anna-Karin Klockar,,,,,https://www.swedishmusicalheritage.com/composers/klockar-anna-karin/
Adrian Knight,,,,,https://www.swedishmusicalheritage.com/composers/knight-adrian/
Baltzar Knölcke,,,,,https://www.swedishmusicalheritage.com/composers/knolcke-baltzar/
Erland von Koch,26 april 1910,Stockholm,31 januari 2009,Stockholm,https://www.swedishmusicalheritage.com/composers/koch-erland-von/
Sigurd von Koch,28 June 1879,Stockholm,16 March 1919,Stockholm,https://www.swedishmusicalheritage.com/composers/koch-sigurd-von/
Emmy Köhler,22 May 1858,,2 February 1925,"Fresta, Upplands Väsby, north of Stockholm,",https://www.swedishmusicalheritage.com/composers/kohler-emmy/
Johan Adolf (Adolph) Benjamin König,19 januari 1764,"S:ta Klara församling, Stockholm,",5 juni 1854,Kungsholms församling (Stockholm),https://www.swedishmusicalheritage.com/composers/konig-johan-adolf-benjamin/
August Körling,14 April 1842,"Misterhult, County of Kalmar,",21 October 1929,Ystad,https://www.swedishmusicalheritage.com/composers/korling-august/
Felix Körling,17 December 1864,"Kristdala, Kalmar county,",8 January 1937,Halmstad,https://www.swedishmusicalheritage.com/composers/korling-felix/
Sven Körling,27 January 1879,St Maria Parish,8 October 1948,"Örgryte Parish, Gothenburg",https://www.swedishmusicalheritage.com/composers/korling-sven/
Wilhelm Körner,3 juni 1809,,3 januari 1865,"Erfurt, Thüringen (Tyskland)",https://www.swedishmusicalheritage.com/composers/korner-wilhelm/
Ulrik Koskull,7 juli 1792,Åbo,8 mars 1863,Stockholm,https://www.swedishmusicalheritage.com/composers/koskull-claes-ulrik/
Vladimir Kovàr,,,,,https://www.swedishmusicalheritage.com/composers/kovar-vladimir/
Hideki Kozakura,,,,,https://www.swedishmusicalheritage.com/composers/kozakura-hideki/
Joseph Martin Kraus,20 June 1756,"the German town of Miltenberg am Main,",15 December 1792,Stockholm,https://www.swedishmusicalheritage.com/composers/kraus-joseph-martin/
Lo Kristenson,,,,,https://www.swedishmusicalheritage.com/composers/kristenson-lo/
Conrad Gottfried Kuhlau,23 maj 1762,"Hovförsamlingen, Stockholm,",31 augusti 1827,"Hovförsamlingen, Stockholm,",https://www.swedishmusicalheritage.com/composers/kuhlau-conrad-gottfried/
Gustaf (Larsson) Sparre,16 juni 1625,,,,https://www.swedishmusicalheritage.com/composers/kuhlau-conrad-gottfried2/
Fredrik Kuhlau,,,,,https://www.swedishmusicalheritage.com/composers/kuhlau-fredrik/
Christian Kull,10 september 1765,Ängelholm,22 februari 1815,Göteborgs Domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/kull-christian-j/
Jean Kullin,13 juli 1821,"Brunnby, nordöstra Skåne",,,https://www.swedishmusicalheritage.com/composers/kullin-jean/
Hardi Kurda,,,,,https://www.swedishmusicalheritage.com/composers/kurda-hardi/
Johann Heinrich Küster,,,,,https://www.swedishmusicalheritage.com/composers/kuster-johann-heinrich/
Ignaz Lachner,11 September 1807,"Rain, Bavaria,",24 February 1895,Hannover,https://www.swedishmusicalheritage.com/composers/lachner-ignaz/
Emanuel Johannes Ladenstein,,,,,https://www.swedishmusicalheritage.com/composers/ladenstein-emanuel-johannes/
Israel Lagerfeldt,18 juni 1754,Linköpings domkyrkoförsamling,,,https://www.swedishmusicalheritage.com/composers/lagerfeldt-israel/
August Lagergren,2 June 1848,Gärdserum,11 June 1908,"Stockholm, was a teacher of harmony at the Royal Conservatory of Music 1874−81 (permanently employed from 1878) and organ from 1881 (professor in 1904)",https://www.swedishmusicalheritage.com/composers/lagergren-august/
Sebastian Lakatos,,,,,https://www.swedishmusicalheritage.com/composers/lakatos-sebastian/
Lars Lalin,25 June 1729,Skinnskatteberg,15 December 1785,Stockholm,https://www.swedishmusicalheritage.com/composers/lalin-lars-samuel/
Helfrid Lambert,5 mars 1868,Stockholm,15 juni 1954,,https://www.swedishmusicalheritage.com/composers/lambert-helfrid/
Pierre Joseph Lambert,,,28 juni 1807,"S:ta Eugenia katolska församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/lambert-pierre-joseph/
Chrichan Larson,,,,,https://www.swedishmusicalheritage.com/composers/larson-chrichan/
Mats Larsson Gothe,,,,,https://www.swedishmusicalheritage.com/composers/larsson-gothe-mats/
Håkan Larsson,,,,,https://www.swedishmusicalheritage.com/composers/larsson-hakan/
Lars-Erik Larsson,15 maj 1908,"Åkarp (Burlövs socken, Skåne),",27 december 1986,,https://www.swedishmusicalheritage.com/composers/larsson-lars-erik/
Martin Q Larsson,,,,,https://www.swedishmusicalheritage.com/composers/larsson-martin-q/
Johan Jakob Laun,,,28 november 1774,Jakob och Johannes församling,https://www.swedishmusicalheritage.com/composers/laun-johan-jakob/
Anna-Lena Laurin-Bergcrantz,,,,,https://www.swedishmusicalheritage.com/composers/laurin-bergcrantz-anna-lena/
Nanny Lejdström,8 maj 1874,"Säby, Västmanlands län,",,,https://www.swedishmusicalheritage.com/composers/lejdstrom-nanny/
David Lennartsson,,,,,https://www.swedishmusicalheritage.com/composers/lennartsson-david/
Per Waldemar Lethin,,,25 april 1858,Lunds domkyrkoförsamling,https://www.swedishmusicalheritage.com/composers/lethin-per-waldemar/
Carl Leuhusen,17 maj 1724,,,,https://www.swedishmusicalheritage.com/composers/leuhusen-carl/
Stefan Levin,,,,,https://www.swedishmusicalheritage.com/composers/levin-stefan/
Vladimir Levitt,,,,,https://www.swedishmusicalheritage.com/composers/levitt-vladimir/
Carl Johan Lewerth,13 January 1818,Arboga,25 May 1888,Örebro,https://www.swedishmusicalheritage.com/composers/lewerth-karl-johan/
Katarina Leyman,,,,,https://www.swedishmusicalheritage.com/composers/leyman-katarina/
Håkan Lidbo,,,,,https://www.swedishmusicalheritage.com/composers/lidbo-hakan/
Ingvar Lidholm,,,,,https://www.swedishmusicalheritage.com/composers/lidholm-ingvar/
John Lidström,,,,,https://www.swedishmusicalheritage.com/composers/lidstrom-john/
Sixten Liedbeck,,,,,https://www.swedishmusicalheritage.com/composers/liedbeck-sixten/
Bernhard Lilja,2 januari 1895,Stockholm,,,https://www.swedishmusicalheritage.com/composers/lilja-bernhard/
Ingemar Liljefors,13 december 1906,Göteborgs domkyrkoförsamling,14 oktober 1981,"S:t Görans församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/liljefors-ingemar/
Ruben Liljefors,,,,,https://www.swedishmusicalheritage.com/composers/liljefors-ruben/
Thomas Liljeholm,,,,,https://www.swedishmusicalheritage.com/composers/liljeholm-thomas/
Jan Liljekvist,,,,,https://www.swedishmusicalheritage.com/composers/liljekvist-jan/
Anders Lind,,,,,https://www.swedishmusicalheritage.com/composers/lind-anders/
Thomas Lindahl,,,,,https://www.swedishmusicalheritage.com/composers/lindahl-thomas/
Olle Lindberg,,,,,https://www.swedishmusicalheritage.com/composers/lindberg-olle/
Oskar Lindberg,23 February 1887,,10 April 1955,Stockholm,https://www.swedishmusicalheritage.com/composers/lindberg-oskar/
Adolf Fredrik Lindblad,1 February 1801,"Skänninge, Östergötland",,,https://www.swedishmusicalheritage.com/composers/lindblad-adolf-fredrik/
Otto Lindblad,31 March 1809,Karlstorp parish in Jönköping County,26 January 1864,Northern Mellby parish,https://www.swedishmusicalheritage.com/composers/lindblad-otto/
Rune Lindblad,,,,,https://www.swedishmusicalheritage.com/composers/lindbladh-rune/
Johan Lindegren,7 January 1842,the parish of Ullared,8 June 1908,Stockholm,https://www.swedishmusicalheritage.com/composers/lindegren-johan/
