name,birth_date,birth_place,death_date,death_place,url
Joel Olsson,11 augusti 1882,Stora Skedvi i Dalarna,27 februari 1966,Falun,https://www.swedishmusicalheritage.com/composers/olsson-joel/
Otto Olsson,19 December 1879,Stockholm,1 September 1964,Stockholm,https://www.swedishmusicalheritage.com/composers/olsson-otto/
Kung Oscar I,,,8 July 1859,,https://www.swedishmusicalheritage.com/composers/oscar-kronprins/
Fredrik Österling,,,,,https://www.swedishmusicalheritage.com/composers/osterling-fredrik/
Salomon von Otter,23 May 1876,Kristianstad,5 December 1938,Stockholm,https://www.swedishmusicalheritage.com/composers/otter-salomon-von/
David Ottosson,27 juli 1892,Gävle,4 september 1970,Stockholm,https://www.swedishmusicalheritage.com/composers/ottosson-david/
Fredrik Pacius,19 mars 1809,,8 januari 1891,Helsingfors,https://www.swedishmusicalheritage.com/composers/pacius-fredrik/
Anne Pajunen,,,,,https://www.swedishmusicalheritage.com/composers/pajunen-anne/
Herman Palm,18 May 1863,Norra Kyrketorp in the province of Västergötland,24 November 1942,Varberg,https://www.swedishmusicalheritage.com/composers/palm-herman/
Johan Fredrik Palm,20 August 1754,Stockholm,15 March 1821,"Edsberg, Sollentuna",https://www.swedishmusicalheritage.com/composers/palm-johan-fredrik/
Catharina Palmér,,,,,https://www.swedishmusicalheritage.com/composers/palmer-catharina/
Åke Parmerud,,,,,https://www.swedishmusicalheritage.com/composers/parmerud-ake/
Edmond Passy,3 September 1789,Stockholm,16 August 1870,Drottningholm,https://www.swedishmusicalheritage.com/composers/passy-edmund/
Gustaf Paulson,22 januari 1898,,17 december 1966,Helsingborgs Maria församling,https://www.swedishmusicalheritage.com/composers/paulson-gustaf/
Mika Pelo,,,,,https://www.swedishmusicalheritage.com/composers/pelo-mika/
Kjell Perder,,,,,https://www.swedishmusicalheritage.com/composers/perder-kjell/
Moses Pergament,,,,,https://www.swedishmusicalheritage.com/composers/pergament-moses/
Alessandro Perini,,,,,https://www.swedishmusicalheritage.com/composers/perini-alessandro/
Bror Persfelt,27 maj 1881,,28 oktober 1975,Täby församling,https://www.swedishmusicalheritage.com/composers/persfelt-bror/
Helena Persson,,,,,https://www.swedishmusicalheritage.com/composers/persson-helena/
Mats Persson,,,,,https://www.swedishmusicalheritage.com/composers/persson-mats/
Hans Adolf Peter (pseudonym),10 november 1904,Wien,13 april 1977,Borås,https://www.swedishmusicalheritage.com/composers/peter-hans-adolf/
Erik Peters,,,,,https://www.swedishmusicalheritage.com/composers/peters-erik/
Wilhelm Peterson-Berger,27 February 1867,Ullånger,,,https://www.swedishmusicalheritage.com/composers/peterson-berger-wilhelm/
Matthew Peterson,,,,,https://www.swedishmusicalheritage.com/composers/peterson-matthew/
Mattias Petersson,,,,,https://www.swedishmusicalheritage.com/composers/petersson-mattias/
Per Gunnar Petersson,,,,,https://www.swedishmusicalheritage.com/composers/petersson-per-gunnar/
Petter Petterson,17 februari 1813,,,,https://www.swedishmusicalheritage.com/composers/petterson-petter/
Allan Pettersson,,,,,https://www.swedishmusicalheritage.com/composers/pettersson-allan/
Krystyna Pettersson,,,,,https://www.swedishmusicalheritage.com/composers/pettersson-krystyna/
Ika Peyron,1 July 1845,Timrå,15 March 1922,Stockholm,https://www.swedishmusicalheritage.com/composers/peyron-fredrika/
Lodovico Piccini,,,,,https://www.swedishmusicalheritage.com/composers/piccini-lodovico/
Paul Pignon,,,,,https://www.swedishmusicalheritage.com/composers/pignon-paul/
Christopher [Christoffer] Pihlman,30 oktober 1748,,21 mars 1780,Jakob och Johannes församling,https://www.swedishmusicalheritage.com/composers/pihlman-christoffer/
Anders Piscator,25 July 1804,Ekshärad in 1736 and died in Hammarö,25 July 1804,Hammarö,https://www.swedishmusicalheritage.com/composers/piscator-anders/
Bengt Piscator,11 juni 1790,Ekshärads församling (Hagfors),17 januari 1822,Ölme församling (Kristinehamn),https://www.swedishmusicalheritage.com/composers/piscator-bengt/
Ludvig Pitscher,,,,,https://www.swedishmusicalheritage.com/composers/pitscher-ludvig/
Stefan Pöntinen,,,,,https://www.swedishmusicalheritage.com/composers/pontinen-stefan/
Peter Pontvik,,,,,https://www.swedishmusicalheritage.com/composers/pontvik-peter/
Antoine Edouard Pratté,22 November 1796,"Haida, Bohemia,",23 May 1875,,https://www.swedishmusicalheritage.com/composers/pratte-edvard/
Johan Conrad Preumayr,,,20 mars 1819,"S:ta Eugenia Katolska församling, Stockholm,",https://www.swedishmusicalheritage.com/composers/preumayr-johan-conrad/
Heinz Provost,12 maj 1891,Wien,24 februari 1959,Stockholm,https://www.swedishmusicalheritage.com/composers/provost-heinz/
Carl von Quanten (Qvanten),,,25 december 1789,Bolstads församling (Mellerud),https://www.swedishmusicalheritage.com/composers/quanten-carl-von/
Folke Rabe,,,,,https://www.swedishmusicalheritage.com/composers/rabe-folke/
Nils Rabenius,2 februari 1887,,19 oktober 1924,,https://www.swedishmusicalheritage.com/composers/rabenius-nils/
Emil Råberg,,,,,https://www.swedishmusicalheritage.com/composers/raberg-emil/
Einar Ralf,,,,,https://www.swedishmusicalheritage.com/composers/ralf-einar/
Johan Ramström,,,,,https://www.swedishmusicalheritage.com/composers/ramstrom-johan/
Andreas Randel,,,,,https://www.swedishmusicalheritage.com/composers/randel-andreas/
Ture Rangström,30 November 1884,Stockholm,11 May 1947,Stockholm,https://www.swedishmusicalheritage.com/composers/rangstrom-ture/
Carl Fredrik Reddewigh,1 februari 1750,Maria Magdalena församling (Stockholm),25 december 1827,Jakob och Johannes församling (Stockholm),https://www.swedishmusicalheritage.com/composers/reddevigh-carl-fredrik/
Amalia Redec,4 maj 1812,,21 november 1885,Ljungby församling,https://www.swedishmusicalheritage.com/composers/redec-amalia/
Karin Rehnqvist,,,,,https://www.swedishmusicalheritage.com/composers/rehnqvist-karin/
Claes Rendahl,4 April 1848,"Ölmstad, Småland",12 February 1926,Karlstad,https://www.swedishmusicalheritage.com/composers/rendahl-claes/
Florence Richards,24 juni 1877,,3 mars 1948,Stockholm,https://www.swedishmusicalheritage.com/composers/richards-florence/
Caroline Ridderstolpe,2 September 1793,Berlin,9 October 1878,,https://www.swedishmusicalheritage.com/composers/ridderstolpe-caroline/
Bo Ridderström,,,,,https://www.swedishmusicalheritage.com/composers/ridderstrom-bo/
David Riebe,,,,,https://www.swedishmusicalheritage.com/composers/riebe-david/
Georg Riedel,,,,,https://www.swedishmusicalheritage.com/composers/riedel-georg/
