name,years,has_description,composer_url
Anders Jormin,1957-,True,https://www.swedishmusicalheritage.com/composers/jormin-anders/
Mårten Josjö,1969-,True,https://www.swedishmusicalheritage.com/composers/josjo-marten/
Max Käck,1951-,True,https://www.swedishmusicalheritage.com/composers/kack-max/
Ingvar Karkoff,1958-,True,https://www.swedishmusicalheritage.com/composers/karkoff-ingvar/
Maurice Karkoff,1927-2013,True,https://www.swedishmusicalheritage.com/composers/karkoff-maurice/
Zbigniew Karkowski,1958-2013,True,https://www.swedishmusicalheritage.com/composers/karkowski-zbigniew/
Erik Mikael Karlsson,1967-,True,https://www.swedishmusicalheritage.com/composers/karlsson-erik-mikael/
Mikael Karlsson,1975-,True,https://www.swedishmusicalheritage.com/composers/karlsson-mikael/
Bartholomeus Kellner,Trol. före 1560−efter 1600,True,https://www.swedishmusicalheritage.com/composers/kellner-bartholomeus/
Molly Heather Kien,1979-,True,https://www.swedishmusicalheritage.com/composers/kien-molly-heather/
Stefan Klaverdal,1975-,True,https://www.swedishmusicalheritage.com/composers/klaverdal-stefan/
Jonas Klingborg,1977-,True,https://www.swedishmusicalheritage.com/composers/klingborg-jonas/
Anna-Karin Klockar,1960-,True,https://www.swedishmusicalheritage.com/composers/klockar-anna-karin/
Adrian Knight,1987-,True,https://www.swedishmusicalheritage.com/composers/knight-adrian/
Baltzar Knölcke,Ca 1711−1754,True,https://www.swedishmusicalheritage.com/composers/knolcke-baltzar/
Vladimir Kovàr,1947-1997,True,https://www.swedishmusicalheritage.com/composers/kovar-vladimir/
Hideki Kozakura,1970-,True,https://www.swedishmusicalheritage.com/composers/kozakura-hideki/
Lo Kristenson,1991-,True,https://www.swedishmusicalheritage.com/composers/kristenson-lo/
Fredrik Kuhlau,1719-1785,True,https://www.swedishmusicalheritage.com/composers/kuhlau-fredrik/
Hardi Kurda,1982-,True,https://www.swedishmusicalheritage.com/composers/kurda-hardi/
Johann Heinrich Küster,1780-1842,True,https://www.swedishmusicalheritage.com/composers/kuster-johann-heinrich/
Emanuel Johannes Ladenstein,1976-,True,https://www.swedishmusicalheritage.com/composers/ladenstein-emanuel-johannes/
Sebastian Lakatos,1983-,True,https://www.swedishmusicalheritage.com/composers/lakatos-sebastian/
Chrichan Larson,1956-,True,https://www.swedishmusicalheritage.com/composers/larson-chrichan/
Mats Larsson Gothe,1965-,True,https://www.swedishmusicalheritage.com/composers/larsson-gothe-mats/
Håkan Larsson,1959-2012,True,https://www.swedishmusicalheritage.com/composers/larsson-hakan/
Martin Q Larsson,1968-,True,https://www.swedishmusicalheritage.com/composers/larsson-martin-q/
Anna-Lena Laurin-Bergcrantz,1962-,True,https://www.swedishmusicalheritage.com/composers/laurin-bergcrantz-anna-lena/
David Lennartsson,1971-,True,https://www.swedishmusicalheritage.com/composers/lennartsson-david/
Stefan Levin,1964-,True,https://www.swedishmusicalheritage.com/composers/levin-stefan/
Vladimir Levitt,1934-2017,True,https://www.swedishmusicalheritage.com/composers/levitt-vladimir/
Katarina Leyman,1963-,True,https://www.swedishmusicalheritage.com/composers/leyman-katarina/
Håkan Lidbo,1965-,True,https://www.swedishmusicalheritage.com/composers/lidbo-hakan/
Ingvar Lidholm,1921-2017,True,https://www.swedishmusicalheritage.com/composers/lidholm-ingvar/
John Lidström,1957-,True,https://www.swedishmusicalheritage.com/composers/lidstrom-john/
Sixten Liedbeck,1916-2004,True,https://www.swedishmusicalheritage.com/composers/liedbeck-sixten/
Ruben Liljefors,1871−1936,True,https://www.swedishmusicalheritage.com/composers/liljefors-ruben/
Thomas Liljeholm,1944-,True,https://www.swedishmusicalheritage.com/composers/liljeholm-thomas/
Jan Liljekvist,1962-,True,https://www.swedishmusicalheritage.com/composers/liljekvist-jan/
Anders Lind,1978-,True,https://www.swedishmusicalheritage.com/composers/lind-anders/
Thomas Lindahl,1953-,True,https://www.swedishmusicalheritage.com/composers/lindahl-thomas/
Olle Lindberg,1967-,True,https://www.swedishmusicalheritage.com/composers/lindberg-olle/
Rune Lindblad,1923-1991,True,https://www.swedishmusicalheritage.com/composers/lindbladh-rune/
Kajsa Lindgren,1990-,True,https://www.swedishmusicalheritage.com/composers/lindgren-kajsa/
Olof Lindgren,1934-2018,True,https://www.swedishmusicalheritage.com/composers/lindgren-olof/
Pär Lindgren,1952-,True,https://www.swedishmusicalheritage.com/composers/lindgren-par/
Stefan Lindgren,1960-,True,https://www.swedishmusicalheritage.com/composers/lindgren-stefan/
Henry Lindroth,1910-1993,True,https://www.swedishmusicalheritage.com/composers/lindroth-henry/
Peter Lindroth,1950-,True,https://www.swedishmusicalheritage.com/composers/lindroth-peter/
Gustav Lindsten,1990-,True,https://www.swedishmusicalheritage.com/composers/lindsten-gustav/
Mats Lindström,1960-,True,https://www.swedishmusicalheritage.com/composers/lindstrom-mats/
Christer Lindwall,1950-,True,https://www.swedishmusicalheritage.com/composers/lindwall-christer/
