wikidata_id,name
Q1489116,Gabriel Cusson
Q1383319,Gabriel Möhlich
Q509720,Gabriela Moyseowicz
Q1495252,Gaspar Smit
Q1495264,Gaspard Fritz
Q5526607,Gasparo Pratoneri
Q1495557,Gaston Carraud
Q16467670,Geeta Sarabhai
Q5530179,Geir Holmsen
Q4368537,Gennadi Podelski
Q665262,Gennaro Manna
Q3759858,Gennaro Ursino
Q105974473,Geoffrey Laycock
Q33509895,Georg Bloch
Q877576,Georg Caspar Wecker
Q316683,Georg Christoph Biller
Q57250484,Georg Gottfried Wagner
Q78808,Georg Hellmesberger
Q15450999,Georg Jacob Vollweiler
Q5535746,Georg Liebling
Q55936690,Georg Otto
Q128085,Georg Solti
Q5541104,George Job Elvey
Q5541753,George Linstead
Q6773606,George Marshall Hall
Q4141134,George de Godzinsky
Q2570619,Georges Caussade
Q21088126,Georges Falkenberg
Q1995898,Georges Mathias
Q717141,Georges Migot
Q4485035,Georgiy Firtich
Q1510240,Gerardo Gandini
Q1512365,Gerhard Rosenfeld
Q3104295,Gerre Hancock
Q927177,Giacomo Insanguine
Q105388404,Giampaolo Bracali
Q15812235,Gian Carlo Cailò
Q721351,Gian Francesco de Majo
Q1522677,Giannis Konstantinidis
Q563275,Gigi Gryce
Q18344534,Gilda Lyons
Q48756927,Gilles Racot
Q30728486,Gilles Raynal
Q16191592,Gilles van der Eeden
Q263697,Gina Bachauer
Q130373817,Giorgos Diamantis
Q12875346,Giorgos Kouroupos
Q106270106,Giorgos Thymis
Q875506,Giovanni Andrea Bontempi
Q5563663,Giovanni Andrea Fioroni
Q5563666,Giovanni Angelo Testagrossa
Q3107003,Giovanni Antiga
Q11924259,Giovanni Antonio Riccieri
Q725724,Giovanni Artusi
Q1525849,Giovanni Battista Costanzi
Q1525859,Giovanni Battista Dalla Gostena
Q1525889,Giovanni Battista Mancini
Q1525931,Giovanni Battista Tibaldi
Q1525940,Giovanni Battista Vivaldi
Q5563782,Giovanni Bolzoni
Q20100441,Giovanni Contino
Q5563833,Giovanni Domenico Perotti
Q17520384,Giovanni Domenico Rognoni Taeggio
Q3662442,Giovanni Francesco Giuliani
Q555808,Giovanni Furno
Q20002575,Giovanni Nicolò Mezzogori
Q1348716,Giovanni Punto
Q3768088,Giovanni Salvatore
Q3769296,Giulia Recli
Q4345109,Giulio Cesare Paribeni
Q3107973,Giuseppe Amendola
Q1528122,Giuseppe Antonio Paganelli
Q1528195,Giuseppe Buonamici
Q17517642,Giuseppe Corsi
Q3502625,Giuseppe Jannaconi
Q54956502,Giuseppe Paolucci
Q107565256,Glukhovtsev Oleksiy Stepanovich
Q27860314,Gonzalo Macias
Q16014538,Gordon Watson
Q1539059,Gottfred Matthison-Hansen
Q1170891,Gottfried Grünewald
Q113506,Gottfried von Preyer
Q5592848,Graham George
Q106568002,Greg Bowers
Q20002750,Gregori Estrada i Gamissans
Q15304724,Gregorio Turini
Q5607708,Gretchen Osgood Warren
Q112028276,Gribovitj-Bresjinskij Stepan Grigorovitj
Q983103,Grzegorz Fitelberg
Q78716,Guido Adler
Q3779156,Guido Alberto Fano
Q105482930,Guilelmus Formellis
Q3119778,Guillaume Couture
Q1554018,Guillermo Graetzer
Q43704749,Gunnar Ahlberg
Q445899,Gunnar Johansen
Q6202243,Gunno Södersten
Q1115860,Gustaf Mankell
Q1556142,Gustav Lange
Q51584,Gustav Leonhardt
Q459805,Gustav Nottebohm
Q69676,Gustav Schreck
Q1556538,Gustav Wilhelm Teschner
Q446814,Gustave Lefèvre
Q1557578,Guy Reibel
Q1000563,György Ferenczy
Q1347757,György Sándor
Q113861509,Géza Vilmos Zágon
Q65768922,Géza Wehner
Q5640592,Hakon Andersen
Q324094,Hanns Jelinek
Q643317,Hans Erich Apostel
Q77598534,Hans Georg Hinderberger
Q19976112,Hans Jacob Tengwall
Q57425,Hans Knappertsbusch
Q90873,Hans Lange
Q820034,Hans Tutschku
Q1582810,Hans Uldall
Q46963641,Hans-Erik Dahlgren
Q15487843,Haris Xanthoudakis
Q3127638,Harold Samuel
Q11861589,Harri Ahmas
Q11861637,Harri Vuori
Q2422439,Harri Wessman
Q1235687,Harris Eisenstadt
Q1586825,Harry T. Burleigh
Q3823221,Heikki Klemetti
Q564953,Heinrich Dorn
Q4134642,Heinrich Gebhard
Q4537431,Heinrich Jalowetz
Q561189,Heinrich Kaminski
Q875643,Heinrich Konietzny
Q1599103,Heinrich Urban
Q5308807,Heinrich Vogl
Q528748,Heinrich Wilhelm Ernst
Q19999271,Heinrich van Eyken
Q680690,Heinrich von Herzogenberg
Q2656299,Helen Adie
Q47166018,Helena Ottawowa
Q10294470,Helena Sá e Costa
Q458031,Helena Tulve
Q1604121,Helmut Schiff
Q133677,Helmut Walcha
Q5714431,Heniot Levy
Q1197441,Henri Casadesus
Q382410,Henri Dallier
Q784771,Henri Gagnon
Q108114646,Henri Ghys
Q20002957,Henri Libert
Q1605914,Henri Lutz
Q1147030,Henri Petri
Q3076116,Henri-Jean Rigel
Q535257,Henriette Puig-Roget
Q2288473,Henrik Lund
Q1606301,Henrik Otto Donner
Q27768157,Henriëtte van den Brandeler
Q2281698,Henry Cooke
Q18639963,Henry Erskine Allon
Q3100982,Henry Février
Q4153207,Henry Gadsby
Q5724900,Henry Ley
Q15479597,Henry Morton Dunham
Q94653886,Henry Weinberg
Q11708933,Henryk Bobiński
Q9288250,Henryk Jarecki
Q2462306,Henryk Sztompka
Q105875,Herbie Hancock
Q6065350,Herman Rechberger
Q57500,Hermann Abendroth
Q570444,Hermann Berens
Q530637,Hermann Grabner
Q98765,Hermann Keller
Q61175,Hermann Levi
Q60174,Hermann Scherchen
Q477266,Hermann Wolfgang von Waltershausen
Q450797,Hervé
Q1617539,Hieronymus Florentinus Quehl
Q3818102,Hilarión Eslava
Q4982446,Hilda Thegerström
Q1606254,Hinrich Philip Johnsen
