name,wikidata_id,description,wikipedia_en
Gordon Watson,Q16014538,Australian classical pianist and teacher,https://en.wikipedia.org/wiki/Gordon_Watson_(pianist)
Gottfried Heinrich Bach,Q710996,Son of Johann Sebastian Bach,https://en.wikipedia.org/wiki/Gottfried_Heinrich_Bach
Grace-Evangeline Mason,Q57915803,,https://en.wikipedia.org/wiki/Grace-Evangeline_Mason
Gretchen Osgood Warren,Q5607708,American poet (1868-1961),https://en.wikipedia.org/wiki/Gretchen_Osgood_Warren
Gribovitj-Bresjinskij Stepan Grigorovitj,Q112028276,,
Grzegorz Fitelberg,Q983103,Polish musician (1879–1953),https://en.wikipedia.org/wiki/Grzegorz_Fitelberg
Guido Adler,Q78716,Moravianian-Austrian musicologist and writer (1855–1941),https://en.wikipedia.org/wiki/Guido_Adler
Guilelmus Formellis,Q105482930,,
Gunno Södersten,Q6202243,,
Gustav Lange,Q1556142,Norwegian musician (1861–1939),https://en.wikipedia.org/wiki/Gustav_Fredrik_Lange
Gustav Leonhardt,Q51584,"Dutch keyboard player, conductor, musicologist, teacher and editor (1928–2012)",https://en.wikipedia.org/wiki/Gustav_Leonhardt
Gyan Riley,Q26720870,American guitarist,https://en.wikipedia.org/wiki/Gyan_Riley
György Ferenczy,Q1000563,pianist,
György Kurtág Jr.,Q24951657,Hungarian musician,
György Sándor,Q1347757,Hungarian musician (1912–2005),https://en.wikipedia.org/wiki/György_Sándor
Gábor Esterházy,Q991486,Hungarian general (1673-1704),https://en.wikipedia.org/wiki/Gábor_Esterházy_(1673–1704)
Géza Wehner,Q65768922,"(1888–1947) organist, music pedagogue, componist",
Hans Georg Benda,Q1579710,Czech musician (1686-1757),
Hans Georg Hinderberger,Q77598534,,
Hans Jacob Tengwall,Q19976112,,
Hans Knappertsbusch,Q57425,German musician (1888-1965),https://en.wikipedia.org/wiki/Hans_Knappertsbusch
Hans Lange,Q90873,German musician (1884-1960),https://en.wikipedia.org/wiki/Hans_Lange_(conductor)
Harold O'Neal,Q5661896,,https://en.wikipedia.org/wiki/Harold_O'Neal
Harold Samuel,Q3127638,British musician (1879–1937),https://en.wikipedia.org/wiki/Harold_Samuel
