article,name,birth,death,nationality,notable_21_century_works,era
Sergio_Blardony,Sergio Blardony,1965,,Spanish,,21st-century classical
Anna_Bofill,Anna Bofill,1944,,Spanish,,21st-century classical
Xavier_Pagès_i_Corella,Xavier Pagès i Corella,1971,,Spanish,,21st-century classical
Kenneth_Sivertsen_(musician),Kenneth Sivertsen,1961,2006,Norwegian,,21st-century classical
Espen_Selvik,Espen Selvik,1959,,Norwegian,,21st-century classical
Bjørn_Bolstad_Skjelbred,Bjørn Bolstad Skjelbred,1970,,Norwegian,,21st-century classical
Marcus_Paus,Marcus Paus,1979,,Norwegian,,21st-century classical
Harald_Sæther,Harald Sæther,1946,,Norwegian,,21st-century classical
Jon_Mostad,Jon Mostad,1942,,Norwegian,,21st-century classical
Trond_Kverno,Trond Kverno,1945,,Norwegian,,21st-century classical
Philip_Kruse,Philip Kruse,1949,,Norwegian,,21st-century classical
Ståle_Kleiberg,Ståle Kleiberg,1958,,Norwegian,,21st-century classical
Alejandro_Román,Alejandro Román,1971,,Spanish,,21st-century classical
Ricardo_Llorca,Ricardo Llorca,1962,,Spanish,,21st-century classical
Alejandro_Coello_Calvo,Alejandro Coello Calvo,1989,,Spanish,,21st-century classical
,Javier Jacinto,1968,,Spanish,,21st-century classical
Terry_Winter_Owens,Terry Winter Owens,1941,2007,American,,21st-century classical
Beth_Wiseman_(composer),Beth Wiseman,1951,2007,British,,21st-century classical
Janika_Vandervelde,Janika Vandervelde,1955,,American,,21st-century classical
Consuelo_Díez,Consuelo Díez,1958,,Spanish,,21st-century classical
Thomas_Larcher,Thomas Larcher,1963,,Austrian,,21st-century classical
Dwight_Gustafson,Dwight Gustafson,1930,2014,American,,21st-century classical
Zhao_Jiping,Zhao Jiping,1945,,Chinese,,21st-century classical
Alexander_Brott,Alexander Brott,1915,2005,Canadian,,21st-century classical
Juan_J._Colomer,Juan J. Colomer,1966,,Spanish,,21st-century classical
Wen_Zhanli,Wen Zhanli,1981,,Chinese,,21st-century classical
Elizabeth_Walton_Vercoe,Elizabeth Walton Vercoe,1941,,American,,21st-century classical
Sheila_Silver,Sheila Silver,1946,,American,,21st-century classical
Faye-Ellen_Silverman,Faye-Ellen Silverman,1947,,American,,21st-century classical
