article,name,birth,death,era
Mateo Albéniz,Mateo Pérez de Albéniz,1755,1831,Classical-era
Giuseppe Antonio Capuzzi,Giuseppe Antonio Capuzzi,1755,1818,Classical-era
Giuseppe Ferlendis,Giuseppe Ferlendis,1755,1802,Classical-era
Federigo Fiorillo,Federigo Fiorillo,1755,c. 1823,Classical-era
Antoine-Frédéric Gresnick,Antoine-Frédéric Gresnick,1755,1799,Classical-era
John Christopher Moller,John Christopher Moller,1755,1803,Classical-era
Jean-Pierre Solié,Jean-Pierre Solié,1755,1812,Classical-era
Giovanni Battista Viotti,Giovanni Battista Viotti,1755,1824,Classical-era
Franz Grill,Franz Grill,c. 1756,1793,Classical-era
Karel Blažej Kopřiva,Karel Blažej Kopřiva,1756,1785,Classical-era
Thomas Linley the younger,Thomas Linley the younger,1756,1778,Classical-era
Joseph Martin Kraus,Joseph Martin Kraus,1756,1792,Classical-era
Alexander Reinagle,Alexander Reinagle,1756,1809,Classical-era
Vincenzo Righini,Vincenzo Righini,1756,1812,Classical-era
Daniel Gottlob Türk,Daniel Gottlob Türk,1756,1813,Classical-era
Antonio Calegari,Antonio Calegari,1757,1828,Classical-era
Alessandro Rolla,Alessandro Rolla,1757,1841,Classical-era
Harriett Abrams,Harriett Abrams,1758,1821,Classical-era
Josepha Barbara Auernhammer,Josepha Barbara Auernhammer,1758,1820,Classical-era
Carl Siegemund Schönebeck,Carl Siegemund Schönebeck,1758,1806 or after,Classical-era
Carl Friedrich Zelter,Carl Friedrich Zelter,1758,1832,Classical-era
Marianna von Auenbrugger,Marianna von Auenbrugger,1759,1782,Classical-era
Wilhelm Friedrich Ernst Bach,Wilhelm Friedrich Ernst Bach,1759,1845,Classical-era
François Devienne,François Devienne,1759,1803,Classical-era
